word,chinese,type,definition,level,has_image
shoulder,肩膀,Body & Health,the top part of your arm where it joins your body,elementary,1
arm,手臂,Body & Health,the long body part from your shoulder to your hand,elementary,1
hand,手,Body & Health,the body part at the end of your arm with five fingers,elementary,1
finger,手指,Body & Health,one of the five thin parts at the end of your hand,elementary,1
thumb,拇指,Body & Health,the short thick finger on the side of your hand,elementary,1
leg,腿,Body & Health,the long body part you use to walk,elementary,1
knee,膝蓋,Body & Health,the middle part of your leg that bends,elementary,1
foot,腳,Body & Health,the body part at the bottom of your leg,elementary,1
toe,腳趾,Body & Health,one of the five small parts at the end of your foot,elementary,1
back,背部,Body & Health,"the part of your body behind you, from neck to waist",elementary,1
stomach,胃,Body & Health,the body part where food goes after you eat,elementary,1
heart,心臟,Body & Health,the body part inside your chest that pumps blood,elementary,1
skin,皮膚,Body & Health,the outer covering of your body,elementary,1
bone,骨頭,Body & Health,a hard part inside your body that gives it shape,elementary,1
blood,血液,Body & Health,the red liquid inside your body,elementary,1
healthy,健康的,Body & Health,feeling good and not sick,elementary,1
sick,生病的,Body & Health,not feeling well; having an illness,elementary,1
pain,疼痛,Body & Health,a bad feeling in your body when something hurts,elementary,1
fever,發燒,Body & Health,when your body is hotter than normal because you are sick,elementary,1
medicine,藥,Body & Health,something you take to feel better when you are sick,elementary,1
doctor,醫生,Body & Health,a person who helps sick people get better,elementary,1
nurse,護士,Body & Health,a person who takes care of sick people,elementary,1
hospital,醫院,Body & Health,a building where sick people go to get help,elementary,1
exercise,運動,Body & Health,moving your body to stay healthy and strong,elementary,1
rest,休息,Body & Health,to stop working and relax,elementary,1
sleep,睡覺,Body & Health,to close your eyes and rest your body and mind,elementary,1
breath,呼吸,Body & Health,the air that goes in and out of your body,elementary,1
cough,咳嗽,Body & Health,to push air out of your mouth with a sudden sound,elementary,1
sneeze,打噴嚏,Body & Health,to suddenly blow air out through your nose,elementary,1
food,食物,Food & Drinks,things you eat,elementary,1
water,水,Food & Drinks,a clear liquid you drink to stay alive,elementary,1
milk,牛奶,Food & Drinks,a white drink that comes from cows,elementary,1
juice,果汁,Food & Drinks,a drink made from fruit,elementary,1
tea,茶,Food & Drinks,a hot drink made from leaves and water,elementary,1
bread,麵包,Food & Drinks,a common food made from flour and baked,elementary,1
rice,米飯,Food & Drinks,small white or brown grains that you cook and eat,elementary,1
egg,蛋,Food & Drinks,an oval thing from a chicken that you can cook and eat,elementary,1
meat,肉,Food & Drinks,food that comes from animals,elementary,1
chicken,雞肉,Food & Drinks,a common bird that people eat,elementary,1
fish,魚,Food & Drinks,an animal that lives in water; also food,elementary,1
cheese,起司,Food & Drinks,a yellow or white food made from milk,elementary,1
butter,奶油,Food & Drinks,"a soft yellow food made from milk, used on bread",elementary,1
sugar,糖,Food & Drinks,a sweet white or brown powder used in food,elementary,1
salt,鹽,Food & Drinks,a white powder that makes food taste better,elementary,1
soup,湯,Food & Drinks,a hot liquid food with vegetables or meat,elementary,1
salad,沙拉,Food & Drinks,"a dish of raw vegetables, often with a sauce",elementary,1
sandwich,三明治,Food & Drinks,two pieces of bread with food between them,elementary,1
pizza,披薩,Food & Drinks,a flat round food with cheese and toppings on top,elementary,1
noodle,麵條,Food & Drinks,a long thin piece of food made from flour and water,elementary,1
cake,蛋糕,Food & Drinks,"a sweet food made with flour, sugar, and eggs",elementary,1
cookie,餅乾,Food & Drinks,a small flat sweet food that is baked,elementary,1
candy,糖果,Food & Drinks,a small sweet food made with sugar,elementary,1
chocolate,巧克力,Food & Drinks,a sweet brown food made from cocoa beans,elementary,1
ice cream,冰淇淋,Food & Drinks,a cold sweet food made from milk and sugar,elementary,1
fruit,水果,Food & Drinks,"food from a plant that is usually sweet, like apples",elementary,1
apple,蘋果,Food & Drinks,a round red or green fruit,elementary,1
banana,香蕉,Food & Drinks,a long yellow fruit,elementary,1
orange,柳橙,Food & Drinks,a round fruit with orange skin and sweet juice,elementary,1
grape,葡萄,Food & Drinks,a small round fruit that grows in bunches,elementary,1
strawberry,草莓,Food & Drinks,a small red fruit with tiny seeds,elementary,1
watermelon,西瓜,Food & Drinks,a large green fruit that is red and juicy inside,elementary,1
vegetable,蔬菜,Food & Drinks,a plant or part of a plant used as food,elementary,1
potato,馬鈴薯,Food & Drinks,a round brown vegetable that grows underground,elementary,1
tomato,番茄,Food & Drinks,a soft red fruit used in cooking,elementary,1
carrot,紅蘿蔔,Food & Drinks,a long orange vegetable,elementary,1
onion,洋蔥,Food & Drinks,a round vegetable with a strong smell that can make you cry,elementary,1
corn,玉米,Food & Drinks,a tall plant with yellow seeds you can eat,elementary,1
bean,豆子,Food & Drinks,a small seed used as food,elementary,1
pepper,胡椒/辣椒,Food & Drinks,a vegetable that can be sweet or very hot,elementary,1
breakfast,早餐,Food & Drinks,"the first meal of the day, in the morning",elementary,1
lunch,午餐,Food & Drinks,the meal in the middle of the day,elementary,1
dinner,晚餐,Food & Drinks,the main meal in the evening,elementary,1
snack,點心,Food & Drinks,a small amount of food between meals,elementary,1
meal,一餐,Food & Drinks,the food you eat at one time,elementary,1
recipe,食譜,Food & Drinks,instructions for cooking a certain food,elementary,1
cook,烹飪,Food & Drinks,to make food using heat,elementary,1
bake,烘焙,Food & Drinks,to cook food in an oven,elementary,1
boil,煮沸,Food & Drinks,to heat water until it bubbles,elementary,1
fry,油炸,Food & Drinks,to cook food in hot oil,elementary,1
taste,味道,Food & Drinks,"the feeling food gives in your mouth (sweet, sour, etc.)",elementary,1
hungry,飢餓的,Food & Drinks,wanting to eat food,elementary,1
thirsty,口渴的,Food & Drinks,wanting to drink something,elementary,1
delicious,美味的,Food & Drinks,very good tasting,elementary,1
fresh,新鮮的,Food & Drinks,recently made or picked; not old,elementary,1
animal,動物,Animals,a living thing that is not a plant or a person,elementary,1
dog,狗,Animals,a common pet animal that barks,elementary,1
cat,貓,Animals,a small pet animal that says meow,elementary,1
bird,鳥,Animals,an animal with wings and feathers that can usually fly,elementary,1
rabbit,兔子,Animals,a small animal with long ears and a short tail,elementary,1
mouse,老鼠,Animals,a very small animal with a long tail,elementary,1
horse,馬,Animals,a large animal that people ride,elementary,1
cow,牛,Animals,a large farm animal that gives milk,elementary,1
pig,豬,Animals,a pink farm animal with a curly tail,elementary,1
sheep,綿羊,Animals,a farm animal with thick wool,elementary,1
goat,山羊,Animals,a farm animal with horns that climbs well,elementary,1
duck,鴨子,Animals,a bird that swims on water and says quack,elementary,1
hen,母雞,Animals,a female chicken,elementary,1
frog,青蛙,Animals,a small green animal that jumps and lives near water,elementary,1
snake,蛇,Animals,a long thin animal with no legs,elementary,1
turtle,烏龜,Animals,an animal with a hard shell on its back,elementary,1
bear,熊,Animals,a large strong wild animal with thick fur,elementary,1
lion,獅子,Animals,"a large wild cat, called the king of animals",elementary,1
tiger,老虎,Animals,a large wild cat with orange fur and black stripes,elementary,1
elephant,大象,Animals,a very large gray animal with a long trunk,elementary,1
monkey,猴子,Animals,an animal that climbs trees and is similar to humans,elementary,1
deer,鹿,Animals,a wild animal with long legs; males have antlers,elementary,1
wolf,狼,Animals,a wild animal that looks like a large dog,elementary,1
fox,狐狸,Animals,a wild animal with red fur and a bushy tail,elementary,1
whale,鯨魚,Animals,a very large animal that lives in the ocean,elementary,1
shark,鯊魚,Animals,a large fish with sharp teeth,elementary,1
butterfly,蝴蝶,Animals,an insect with large colorful wings,elementary,1
bee,蜜蜂,Animals,a small flying insect that makes honey,elementary,1
ant,螞蟻,Animals,a very small insect that lives in large groups,elementary,1
spider,蜘蛛,Animals,a small animal with eight legs that makes webs,elementary,1
pet,寵物,Animals,an animal you keep at home and take care of,elementary,1
wing,翅膀,Animals,the part of a bird or insect used for flying,elementary,1
tail,尾巴,Animals,the part at the back end of an animal,elementary,1
feather,羽毛,Animals,a light soft thing that covers a bird's body,elementary,1
color,顏色,Colors & Shapes,"the way something looks (red, blue, green, etc.)",elementary,1
red,紅色,Colors & Shapes,the color of fire and strawberries,elementary,1
blue,藍色,Colors & Shapes,the color of the sky and the ocean,elementary,1
green,綠色,Colors & Shapes,the color of grass and leaves,elementary,1
yellow,黃色,Colors & Shapes,the color of the sun and bananas,elementary,1
purple,紫色,Colors & Shapes,the color you get when you mix red and blue,elementary,1
pink,粉紅色,Colors & Shapes,a light red color,elementary,1
brown,棕色,Colors & Shapes,the color of chocolate and wood,elementary,1
black,黑色,Colors & Shapes,the darkest color; the color of night,elementary,1
white,白色,Colors & Shapes,the lightest color; the color of snow,elementary,1
gray,灰色,Colors & Shapes,the color between black and white,elementary,1
gold,金色,Colors & Shapes,"a shiny yellow color, like the metal",elementary,1
silver,銀色,Colors & Shapes,"a shiny gray color, like the metal",elementary,1
dark,暗的,Colors & Shapes,close to black; not much light,elementary,1
light,亮的,Colors & Shapes,close to white; not dark,elementary,1
bright,明亮的,Colors & Shapes,strong and easy to see; full of light,elementary,1
shape,形狀,Colors & Shapes,"the form of something (round, square, etc.)",elementary,1
circle,圓形,Colors & Shapes,a round shape like a ring,elementary,1
square,正方形,Colors & Shapes,a shape with four equal sides and four corners,elementary,1
triangle,三角形,Colors & Shapes,a shape with three sides and three corners,elementary,1
rectangle,長方形,Colors & Shapes,a shape with four sides; two long and two short,elementary,1
star,星形,Colors & Shapes,a shape with five or more points,elementary,1
line,線,Colors & Shapes,a long thin mark,elementary,1
round,圓的,Colors & Shapes,shaped like a circle or ball,elementary,1
straight,直的,Colors & Shapes,not curved or bent,elementary,1
number,數字,Numbers & Counting,"a word or symbol used for counting (1, 2, 3...)",elementary,0
zero,零,Numbers & Counting,the number 0; nothing,elementary,0
one,一,Numbers & Counting,the number 1,elementary,0
two,二,Numbers & Counting,the number 2,elementary,0
three,三,Numbers & Counting,the number 3,elementary,0
four,四,Numbers & Counting,the number 4,elementary,0
five,五,Numbers & Counting,the number 5,elementary,0
six,六,Numbers & Counting,the number 6,elementary,0
seven,七,Numbers & Counting,the number 7,elementary,0
eight,八,Numbers & Counting,the number 8,elementary,0
nine,九,Numbers & Counting,the number 9,elementary,0
ten,十,Numbers & Counting,the number 10,elementary,0
twenty,二十,Numbers & Counting,the number 20,elementary,0
thirty,三十,Numbers & Counting,the number 30,elementary,0
forty,四十,Numbers & Counting,the number 40,elementary,0
fifty,五十,Numbers & Counting,the number 50,elementary,0
hundred,一百,Numbers & Counting,the number 100,elementary,0
thousand,一千,Numbers & Counting,"the number 1,000",elementary,0
million,一百萬,Numbers & Counting,"the number 1,000,000",elementary,0
first,第一,Numbers & Counting,number one in order (1st),elementary,0
second,第二,Numbers & Counting,number two in order (2nd),elementary,0
third,第三,Numbers & Counting,number three in order (3rd),elementary,0
last,最後的,Numbers & Counting,coming after all the others; at the end,elementary,0
half,一半,Numbers & Counting,one of two equal parts,elementary,0
pair,一對,Numbers & Counting,two things that go together,elementary,0
double,雙倍,Numbers & Counting,two times as much,elementary,0
count,數數,Numbers & Counting,to say numbers in order; to find how many,elementary,0
add,加,Numbers & Counting,to put numbers together to get a total,elementary,0
total,總計,Numbers & Counting,the full amount when everything is added,elementary,0
many,許多,Numbers & Counting,a large number of,elementary,0
few,少數,Numbers & Counting,a small number of,elementary,0
some,一些,Numbers & Counting,a part of something; not all,elementary,0
all,全部,Numbers & Counting,every one; the whole amount,elementary,0
none,沒有,Numbers & Counting,not any; zero,elementary,0
both,兩者都,Numbers & Counting,the two together,elementary,0
each,每一個,Numbers & Counting,every single one,elementary,0
every,每一個,Numbers & Counting,"all of them, one by one",elementary,0
enough,足夠的,Numbers & Counting,as much as you need,elementary,0
time,時間,Time & Calendar,"what clocks measure (hours, minutes, seconds)",elementary,0
clock,時鐘,Time & Calendar,a thing that shows you what time it is,elementary,0
watch,手錶,Time & Calendar,a small clock you wear on your wrist,elementary,0
hour,小時,Time & Calendar,60 minutes,elementary,0
minute,分鐘,Time & Calendar,60 seconds,elementary,0
morning,早上,Time & Calendar,"the early part of the day, before noon",elementary,0
afternoon,下午,Time & Calendar,the part of the day between noon and evening,elementary,0
evening,傍晚,Time & Calendar,the part of the day between afternoon and night,elementary,0
night,夜晚,Time & Calendar,the dark time when the sun is not in the sky,elementary,0
noon,中午,Time & Calendar,12 o'clock in the middle of the day,elementary,0
midnight,午夜,Time & Calendar,12 o'clock in the middle of the night,elementary,0
today,今天,Time & Calendar,this day; the day right now,elementary,0
tomorrow,明天,Time & Calendar,the day after today,elementary,0
yesterday,昨天,Time & Calendar,the day before today,elementary,0
day,天,Time & Calendar,a 24-hour period; the time when the sun is up,elementary,0
week,週,Time & Calendar,seven days,elementary,0
month,月,Time & Calendar,about 30 days; there are 12 in a year,elementary,0
year,年,Time & Calendar,12 months; 365 days,elementary,0
Monday,星期一,Time & Calendar,the first day of the work week,elementary,0
Tuesday,星期二,Time & Calendar,the second day of the work week,elementary,0
Wednesday,星期三,Time & Calendar,the third day of the work week,elementary,0
Thursday,星期四,Time & Calendar,the fourth day of the work week,elementary,0
Friday,星期五,Time & Calendar,the fifth day of the work week,elementary,0
Saturday,星期六,Time & Calendar,the sixth day of the week; part of the weekend,elementary,0
Sunday,星期日,Time & Calendar,the seventh day of the week; part of the weekend,elementary,0
weekend,週末,Time & Calendar,Saturday and Sunday,elementary,0
January,一月,Time & Calendar,the first month of the year,elementary,0
February,二月,Time & Calendar,the second month of the year,elementary,0
March,三月,Time & Calendar,the third month of the year,elementary,0
April,四月,Time & Calendar,the fourth month of the year,elementary,0
May,五月,Time & Calendar,the fifth month of the year,elementary,0
June,六月,Time & Calendar,the sixth month of the year,elementary,0
July,七月,Time & Calendar,the seventh month of the year,elementary,0
August,八月,Time & Calendar,the eighth month of the year,elementary,0
September,九月,Time & Calendar,the ninth month of the year,elementary,0
October,十月,Time & Calendar,the tenth month of the year,elementary,0
November,十一月,Time & Calendar,the eleventh month of the year,elementary,0
December,十二月,Time & Calendar,the twelfth and last month of the year,elementary,0
spring,春天,Time & Calendar,the season after winter when flowers grow,elementary,0
summer,夏天,Time & Calendar,the hottest season of the year,elementary,0
autumn,秋天,Time & Calendar,the season when leaves fall from trees; also called fall,elementary,0
winter,冬天,Time & Calendar,the coldest season of the year,elementary,0
season,季節,Time & Calendar,one of the four parts of the year,elementary,0
birthday,生日,Time & Calendar,"the day you were born, celebrated each year",elementary,0
holiday,假日,Time & Calendar,a special day when people celebrate or rest,elementary,0
early,早的,Time & Calendar,before the expected time,elementary,0
late,晚的,Time & Calendar,after the expected time,elementary,0
soon,很快,Time & Calendar,in a short time from now,elementary,0
already,已經,Time & Calendar,before now; before a certain time,elementary,0
always,總是,Time & Calendar,at all times; every time,elementary,0
never,從不,Time & Calendar,not at any time,elementary,0
sometimes,有時候,Time & Calendar,not always; once in a while,elementary,0
often,經常,Time & Calendar,many times; happening a lot,elementary,0
usually,通常,Time & Calendar,most of the time,elementary,0
ago,以前,Time & Calendar,in the past; before now,elementary,0
clothes,衣服,Clothes & Accessories,things you wear on your body,elementary,1
shirt,襯衫,Clothes & Accessories,a piece of clothing for the upper body with sleeves,elementary,1
pants,褲子,Clothes & Accessories,clothing that covers your legs,elementary,1
dress,洋裝,Clothes & Accessories,"a piece of clothing for girls/women, top and skirt together",elementary,1
skirt,裙子,Clothes & Accessories,"clothing that hangs from the waist, worn by girls/women",elementary,1
jacket,夾克,Clothes & Accessories,a short coat you wear to stay warm,elementary,1
coat,外套,Clothes & Accessories,clothing you wear over other clothes to stay warm,elementary,1
sweater,毛衣,Clothes & Accessories,a warm piece of clothing made from wool or thick cloth,elementary,1
shorts,短褲,Clothes & Accessories,short pants that end above the knee,elementary,1
jeans,牛仔褲,Clothes & Accessories,strong pants made from blue cloth,elementary,1
uniform,制服,Clothes & Accessories,special clothes that everyone in a group wears,elementary,1
pajamas,睡衣,Clothes & Accessories,clothes you wear when you sleep,elementary,1
sock,襪子,Clothes & Accessories,a soft covering you wear on your foot inside a shoe,elementary,1
shoe,鞋子,Clothes & Accessories,something you wear on your foot for walking,elementary,1
boot,靴子,Clothes & Accessories,a strong shoe that covers your foot and ankle,elementary,1
hat,帽子,Clothes & Accessories,something you wear on your head,elementary,1
cap,鴨舌帽,Clothes & Accessories,a hat with a flat part in front to block the sun,elementary,1
glove,手套,Clothes & Accessories,a covering for your hand with places for each finger,elementary,1
scarf,圍巾,Clothes & Accessories,a long piece of cloth worn around your neck,elementary,1
belt,皮帶,Clothes & Accessories,a band you wear around your waist to hold up pants,elementary,1
pocket,口袋,Clothes & Accessories,a small bag sewn into clothing for holding things,elementary,1
button,鈕扣,Clothes & Accessories,a small round thing used to close shirts and coats,elementary,1
zipper,拉鍊,Clothes & Accessories,a device with teeth that opens and closes clothing,elementary,1
umbrella,雨傘,Clothes & Accessories,a thing you hold over your head to stay dry in rain,elementary,1
bag,袋子,Clothes & Accessories,a container for carrying things,elementary,1
backpack,背包,Clothes & Accessories,a bag you carry on your back,elementary,1
glasses,眼鏡,Clothes & Accessories,"two pieces of glass in a frame, worn to see better",elementary,1
sunglasses,太陽眼鏡,Clothes & Accessories,dark glasses that protect your eyes from the sun,elementary,1
ring,戒指,Clothes & Accessories,a small circle of metal worn on your finger,elementary,1
wear,穿戴,Clothes & Accessories,to have clothes on your body,elementary,1
home,家,House & Home,the place where you live,elementary,1
house,房子,House & Home,a building where people live,elementary,1
apartment,公寓,House & Home,a set of rooms in a larger building where people live,elementary,1
room,房間,House & Home,a space inside a building with walls,elementary,1
bedroom,臥室,House & Home,the room where you sleep,elementary,1
bathroom,浴室,House & Home,the room with a toilet and shower,elementary,1
kitchen,廚房,House & Home,the room where you cook food,elementary,1
living room,客廳,House & Home,the main room where a family sits together,elementary,1
door,門,House & Home,a thing you open and close to enter a room or building,elementary,1
window,窗戶,House & Home,an opening in a wall with glass to let in light,elementary,1
wall,牆壁,House & Home,the side of a room or building,elementary,1
floor,地板,House & Home,the part of a room you walk on,elementary,1
ceiling,天花板,House & Home,the top part of a room above your head,elementary,1
roof,屋頂,House & Home,the top covering of a building,elementary,1
stairs,樓梯,House & Home,steps you walk up and down to change floors,elementary,1
key,鑰匙,House & Home,a small metal thing used to open a lock,elementary,1
lock,鎖,House & Home,a device that keeps a door closed,elementary,1
furniture,家具,House & Home,"things like tables, chairs, and beds in a room",elementary,1
table,桌子,House & Home,a flat piece of furniture with legs,elementary,1
chair,椅子,House & Home,a piece of furniture you sit on,elementary,1
desk,書桌,House & Home,a table where you study or work,elementary,1
bed,床,House & Home,a piece of furniture where you sleep,elementary,1
pillow,枕頭,House & Home,a soft thing you put your head on when you sleep,elementary,1
blanket,毯子,House & Home,a large soft cover to keep you warm in bed,elementary,1
sofa,沙發,House & Home,a long soft seat for two or more people,elementary,1
shelf,架子,House & Home,a flat board on a wall for holding things,elementary,1
closet,衣櫥,House & Home,a small room or space for keeping clothes,elementary,1
drawer,抽屜,House & Home,a box that slides in and out of furniture,elementary,1
mirror,鏡子,House & Home,a piece of glass that shows your reflection,elementary,1
lamp,檯燈,House & Home,a thing that makes light in a room,elementary,1
fan,電風扇,House & Home,a machine that moves air to keep you cool,elementary,1
refrigerator,冰箱,House & Home,a machine that keeps food cold,elementary,1
oven,烤箱,House & Home,a machine used for baking and cooking food,elementary,1
stove,爐子,House & Home,a machine with a flat top for cooking food in pots,elementary,1
sink,水槽,House & Home,a bowl with water taps for washing,elementary,1
toilet,馬桶,House & Home,what you sit on in the bathroom,elementary,1
shower,淋浴,House & Home,a thing that sprays water on you for washing,elementary,1
towel,毛巾,House & Home,a piece of cloth used to dry your body,elementary,1
soap,肥皂,House & Home,something you use with water to clean your body,elementary,1
toothbrush,牙刷,House & Home,a small brush for cleaning your teeth,elementary,1
garden,花園,House & Home,a piece of land where flowers or vegetables grow,elementary,1
yard,院子,House & Home,the land around a house,elementary,1
fence,圍籬,House & Home,a wall made of wood or wire around a yard,elementary,1
garage,車庫,House & Home,a building or room for keeping a car,elementary,1
clean,乾淨的,House & Home,free from dirt; to remove dirt,elementary,1
dirty,髒的,House & Home,not clean; covered with dirt,elementary,1
mess,混亂,House & Home,when things are not tidy; things everywhere,elementary,1
trash,垃圾,House & Home,things you throw away; garbage,elementary,1
fix,修理,House & Home,to repair something that is broken,elementary,1
school,學校,School & Education,a place where children go to learn,elementary,1
classroom,教室,School & Education,a room in a school where students learn,elementary,1
teacher,老師,School & Education,a person who helps students learn,elementary,1
student,學生,School & Education,a person who studies at a school,elementary,1
lesson,課程,School & Education,a time when a teacher teaches something,elementary,1
class,班級,School & Education,a group of students who learn together,elementary,1
homework,作業,School & Education,schoolwork that you do at home,elementary,1
test,測驗,School & Education,a set of questions to check what you know,elementary,1
exam,考試,School & Education,a big test at the end of a class or year,elementary,1
grade,成績,School & Education,a score that shows how well you did; also a school year,elementary,1
subject,科目,School & Education,"an area of study, like math or science",elementary,1
math,數學,School & Education,the study of numbers and how to use them,elementary,1
science,科學,School & Education,the study of nature and how things work,elementary,1
history,歷史,School & Education,the study of things that happened in the past,elementary,1
English,英語,School & Education,the language spoken in many countries,elementary,1
art,美術,School & Education,"drawing, painting, and making beautiful things",elementary,1
music,音樂,School & Education,sounds made by singing or playing instruments,elementary,1
read,閱讀,School & Education,to look at words and understand them,elementary,1
write,寫,School & Education,to put words on paper or a screen,elementary,1
study,學習,School & Education,to spend time learning something,elementary,1
learn,學習,School & Education,to get new knowledge or skills,elementary,1
teach,教,School & Education,to help someone learn something,elementary,1
understand,理解,School & Education,to know the meaning of something,elementary,1
question,問題,School & Education,something you ask to find out information,elementary,1
answer,回答,School & Education,what you say or write when someone asks a question,elementary,1
practice,練習,School & Education,to do something again and again to get better,elementary,1
example,例子,School & Education,something that shows what something is like,elementary,1
mistake,錯誤,School & Education,something wrong; an error,elementary,1
correct,正確的,School & Education,right; without mistakes,elementary,1
wrong,錯誤的,School & Education,not right; having a mistake,elementary,1
book,書,School & Education,pages with words put together for reading,elementary,1
page,頁,School & Education,one side of a piece of paper in a book,elementary,1
notebook,筆記本,School & Education,a book with empty pages for writing,elementary,1
pencil,鉛筆,School & Education,a thin tool for writing and drawing,elementary,1
pen,筆,School & Education,a tool for writing with ink,elementary,1
eraser,橡皮擦,School & Education,a thing used to remove pencil marks,elementary,1
ruler,尺,School & Education,a straight tool for measuring length,elementary,1
paper,紙,School & Education,a thin flat material for writing on,elementary,1
map,地圖,School & Education,a picture that shows where places are,elementary,1
board,黑板,School & Education,a large flat surface on the wall for writing in a classroom,elementary,1
library,圖書館,School & Education,a place with many books you can read or borrow,elementary,1
dictionary,字典,School & Education,a book that gives the meaning of words,elementary,1
letter,字母,School & Education,"a symbol used in writing (A, B, C); also a written message",elementary,1
word,單字,School & Education,a group of letters that means something,elementary,1
sentence,句子,School & Education,a group of words that makes a complete idea,elementary,1
story,故事,School & Education,"a description of events, real or made up",elementary,1
paragraph,段落,School & Education,a group of sentences about one main idea,elementary,1
language,語言,School & Education,a system of words people use to communicate,elementary,1
spell,拼字,School & Education,to write or say the letters of a word in order,elementary,1
remember,記得,School & Education,to keep something in your mind; not forget,elementary,1
weather,天氣,Weather & Nature,"what it is like outside (hot, cold, rainy, etc.)",elementary,1
sun,太陽,Weather & Nature,the bright star in the sky that gives us light and heat,elementary,1
moon,月亮,Weather & Nature,the round thing in the sky that shines at night,elementary,1
sky,天空,Weather & Nature,the space above you where you see clouds and the sun,elementary,1
cloud,雲,Weather & Nature,a white or gray thing in the sky made of tiny water drops,elementary,1
rain,雨,Weather & Nature,water that falls from clouds,elementary,1
snow,雪,Weather & Nature,soft white pieces of frozen water that fall from the sky,elementary,1
wind,風,Weather & Nature,moving air,elementary,1
storm,暴風雨,Weather & Nature,very bad weather with heavy rain and strong wind,elementary,1
thunder,雷,Weather & Nature,the loud sound during a storm,elementary,1
lightning,閃電,Weather & Nature,a flash of bright light in the sky during a storm,elementary,1
fog,霧,Weather & Nature,a thick cloud close to the ground that makes it hard to see,elementary,1
ice,冰,Weather & Nature,frozen water,elementary,1
hot,熱的,Weather & Nature,having a high temperature,elementary,1
cold,冷的,Weather & Nature,having a low temperature,elementary,1
warm,溫暖的,Weather & Nature,a little hot; comfortable,elementary,1
cool,涼爽的,Weather & Nature,a little cold; pleasantly not warm,elementary,1
wet,濕的,Weather & Nature,covered with water; not dry,elementary,1
dry,乾的,Weather & Nature,not wet; without water,elementary,1
temperature,溫度,Weather & Nature,how hot or cold something is,elementary,1
nature,自然,Weather & Nature,everything in the world that is not made by people,elementary,1
tree,樹,Weather & Nature,a tall plant with a trunk and branches,elementary,1
flower,花,Weather & Nature,the colorful part of a plant,elementary,1
grass,草,Weather & Nature,a green plant that covers the ground,elementary,1
leaf,葉子,Weather & Nature,a flat green part of a plant or tree,elementary,1
seed,種子,Weather & Nature,a small thing from a plant that can grow into a new plant,elementary,1
root,根,Weather & Nature,the part of a plant that grows under the ground,elementary,1
forest,森林,Weather & Nature,a large area with many trees,elementary,1
mountain,山,Weather & Nature,a very high piece of land,elementary,1
hill,小山丘,Weather & Nature,"a raised area of land, smaller than a mountain",elementary,1
river,河流,Weather & Nature,a long flow of water across the land,elementary,1
lake,湖,Weather & Nature,a large body of water surrounded by land,elementary,1
ocean,海洋,Weather & Nature,the huge body of salt water that covers most of Earth,elementary,1
sea,海,Weather & Nature,"a large body of salt water, smaller than an ocean",elementary,1
beach,海灘,Weather & Nature,the sandy area next to the ocean or a lake,elementary,1
island,島嶼,Weather & Nature,land that has water all around it,elementary,1
rock,岩石,Weather & Nature,a hard solid piece of the earth,elementary,1
sand,沙,Weather & Nature,tiny pieces of rock found on beaches,elementary,1
