filename,word,type,description
1200-essential-english-words.md,shoulder,Body & Health,the top part of your arm where it joins your body
1200-essential-english-words.md,arm,Body & Health,the long body part from your shoulder to your hand
1200-essential-english-words.md,hand,Body & Health,the body part at the end of your arm with five fingers
1200-essential-english-words.md,finger,Body & Health,one of the five thin parts at the end of your hand
1200-essential-english-words.md,thumb,Body & Health,the short thick finger on the side of your hand
1200-essential-english-words.md,leg,Body & Health,the long body part you use to walk
1200-essential-english-words.md,knee,Body & Health,the middle part of your leg that bends
1200-essential-english-words.md,foot,Body & Health,the body part at the bottom of your leg
1200-essential-english-words.md,toe,Body & Health,one of the five small parts at the end of your foot
1200-essential-english-words.md,back,Body & Health,"the part of your body behind you, from neck to waist"
1200-essential-english-words.md,stomach,Body & Health,the body part where food goes after you eat
1200-essential-english-words.md,heart,Body & Health,the body part inside your chest that pumps blood
1200-essential-english-words.md,skin,Body & Health,the outer covering of your body
1200-essential-english-words.md,bone,Body & Health,a hard part inside your body that gives it shape
1200-essential-english-words.md,blood,Body & Health,the red liquid inside your body
1200-essential-english-words.md,healthy,Body & Health,feeling good and not sick
1200-essential-english-words.md,sick,Body & Health,not feeling well; having an illness
1200-essential-english-words.md,pain,Body & Health,a bad feeling in your body when something hurts
1200-essential-english-words.md,fever,Body & Health,when your body is hotter than normal because you are sick
1200-essential-english-words.md,medicine,Body & Health,something you take to feel better when you are sick
1200-essential-english-words.md,doctor,Body & Health,a person who helps sick people get better
1200-essential-english-words.md,nurse,Body & Health,a person who takes care of sick people
1200-essential-english-words.md,hospital,Body & Health,a building where sick people go to get help
1200-essential-english-words.md,exercise,Body & Health,moving your body to stay healthy and strong
1200-essential-english-words.md,rest,Body & Health,to stop working and relax
1200-essential-english-words.md,sleep,Body & Health,to close your eyes and rest your body and mind
1200-essential-english-words.md,breath,Body & Health,the air that goes in and out of your body
1200-essential-english-words.md,cough,Body & Health,to push air out of your mouth with a sudden sound
1200-essential-english-words.md,sneeze,Body & Health,to suddenly blow air out through your nose
1200-essential-english-words.md,food,Food & Drinks,things you eat
1200-essential-english-words.md,water,Food & Drinks,a clear liquid you drink to stay alive
1200-essential-english-words.md,milk,Food & Drinks,a white drink that comes from cows
1200-essential-english-words.md,juice,Food & Drinks,a drink made from fruit
1200-essential-english-words.md,tea,Food & Drinks,a hot drink made from leaves and water
1200-essential-english-words.md,bread,Food & Drinks,a common food made from flour and baked
1200-essential-english-words.md,rice,Food & Drinks,small white or brown grains that you cook and eat
1200-essential-english-words.md,egg,Food & Drinks,an oval thing from a chicken that you can cook and eat
1200-essential-english-words.md,meat,Food & Drinks,food that comes from animals
1200-essential-english-words.md,chicken,Food & Drinks,a common bird that people eat
1200-essential-english-words.md,fish,Food & Drinks,an animal that lives in water; also food
1200-essential-english-words.md,cheese,Food & Drinks,a yellow or white food made from milk
1200-essential-english-words.md,butter,Food & Drinks,"a soft yellow food made from milk, used on bread"
1200-essential-english-words.md,sugar,Food & Drinks,a sweet white or brown powder used in food
1200-essential-english-words.md,salt,Food & Drinks,a white powder that makes food taste better
1200-essential-english-words.md,soup,Food & Drinks,a hot liquid food with vegetables or meat
1200-essential-english-words.md,salad,Food & Drinks,"a dish of raw vegetables, often with a sauce"
1200-essential-english-words.md,sandwich,Food & Drinks,two pieces of bread with food between them
1200-essential-english-words.md,pizza,Food & Drinks,a flat round food with cheese and toppings on top
1200-essential-english-words.md,noodle,Food & Drinks,a long thin piece of food made from flour and water
1200-essential-english-words.md,cake,Food & Drinks,"a sweet food made with flour, sugar, and eggs"
1200-essential-english-words.md,cookie,Food & Drinks,a small flat sweet food that is baked
1200-essential-english-words.md,candy,Food & Drinks,a small sweet food made with sugar
1200-essential-english-words.md,chocolate,Food & Drinks,a sweet brown food made from cocoa beans
1200-essential-english-words.md,ice cream,Food & Drinks,a cold sweet food made from milk and sugar
1200-essential-english-words.md,fruit,Food & Drinks,"food from a plant that is usually sweet, like apples"
1200-essential-english-words.md,apple,Food & Drinks,a round red or green fruit
1200-essential-english-words.md,banana,Food & Drinks,a long yellow fruit
1200-essential-english-words.md,orange,Food & Drinks,a round fruit with orange skin and sweet juice
1200-essential-english-words.md,grape,Food & Drinks,a small round fruit that grows in bunches
1200-essential-english-words.md,strawberry,Food & Drinks,a small red fruit with tiny seeds
1200-essential-english-words.md,watermelon,Food & Drinks,a large green fruit that is red and juicy inside
1200-essential-english-words.md,vegetable,Food & Drinks,a plant or part of a plant used as food
1200-essential-english-words.md,potato,Food & Drinks,a round brown vegetable that grows underground
1200-essential-english-words.md,tomato,Food & Drinks,a soft red fruit used in cooking
1200-essential-english-words.md,carrot,Food & Drinks,a long orange vegetable
1200-essential-english-words.md,onion,Food & Drinks,a round vegetable with a strong smell that can make you cry
1200-essential-english-words.md,corn,Food & Drinks,a tall plant with yellow seeds you can eat
1200-essential-english-words.md,bean,Food & Drinks,a small seed used as food
1200-essential-english-words.md,pepper,Food & Drinks,a vegetable that can be sweet or very hot
1200-essential-english-words.md,breakfast,Food & Drinks,"the first meal of the day, in the morning"
1200-essential-english-words.md,lunch,Food & Drinks,the meal in the middle of the day
1200-essential-english-words.md,dinner,Food & Drinks,the main meal in the evening
1200-essential-english-words.md,snack,Food & Drinks,a small amount of food between meals
1200-essential-english-words.md,meal,Food & Drinks,the food you eat at one time
1200-essential-english-words.md,recipe,Food & Drinks,instructions for cooking a certain food
1200-essential-english-words.md,cook,Food & Drinks,to make food using heat
1200-essential-english-words.md,bake,Food & Drinks,to cook food in an oven
1200-essential-english-words.md,boil,Food & Drinks,to heat water until it bubbles
1200-essential-english-words.md,fry,Food & Drinks,to cook food in hot oil
1200-essential-english-words.md,taste,Food & Drinks,"the feeling food gives in your mouth (sweet, sour, etc.)"
1200-essential-english-words.md,hungry,Food & Drinks,wanting to eat food
1200-essential-english-words.md,thirsty,Food & Drinks,wanting to drink something
1200-essential-english-words.md,delicious,Food & Drinks,very good tasting
1200-essential-english-words.md,fresh,Food & Drinks,recently made or picked; not old
1200-essential-english-words.md,animal,Animals,a living thing that is not a plant or a person
1200-essential-english-words.md,dog,Animals,a common pet animal that barks
1200-essential-english-words.md,cat,Animals,a small pet animal that says meow
1200-essential-english-words.md,bird,Animals,an animal with wings and feathers that can usually fly
1200-essential-english-words.md,fish,Animals,an animal that lives in water and breathes through gills
1200-essential-english-words.md,rabbit,Animals,a small animal with long ears and a short tail
1200-essential-english-words.md,mouse,Animals,a very small animal with a long tail
1200-essential-english-words.md,horse,Animals,a large animal that people ride
1200-essential-english-words.md,cow,Animals,a large farm animal that gives milk
1200-essential-english-words.md,pig,Animals,a pink farm animal with a curly tail
1200-essential-english-words.md,sheep,Animals,a farm animal with thick wool
1200-essential-english-words.md,goat,Animals,a farm animal with horns that climbs well
1200-essential-english-words.md,duck,Animals,a bird that swims on water and says quack
1200-essential-english-words.md,hen,Animals,a female chicken
1200-essential-english-words.md,frog,Animals,a small green animal that jumps and lives near water
1200-essential-english-words.md,snake,Animals,a long thin animal with no legs
1200-essential-english-words.md,turtle,Animals,an animal with a hard shell on its back
1200-essential-english-words.md,bear,Animals,a large strong wild animal with thick fur
1200-essential-english-words.md,lion,Animals,"a large wild cat, called the king of animals"
1200-essential-english-words.md,tiger,Animals,a large wild cat with orange fur and black stripes
1200-essential-english-words.md,elephant,Animals,a very large gray animal with a long trunk
1200-essential-english-words.md,monkey,Animals,an animal that climbs trees and is similar to humans
1200-essential-english-words.md,deer,Animals,a wild animal with long legs; males have antlers
1200-essential-english-words.md,wolf,Animals,a wild animal that looks like a large dog
1200-essential-english-words.md,fox,Animals,a wild animal with red fur and a bushy tail
1200-essential-english-words.md,whale,Animals,a very large animal that lives in the ocean
1200-essential-english-words.md,shark,Animals,a large fish with sharp teeth
1200-essential-english-words.md,butterfly,Animals,an insect with large colorful wings
1200-essential-english-words.md,bee,Animals,a small flying insect that makes honey
1200-essential-english-words.md,ant,Animals,a very small insect that lives in large groups
1200-essential-english-words.md,spider,Animals,a small animal with eight legs that makes webs
1200-essential-english-words.md,pet,Animals,an animal you keep at home and take care of
1200-essential-english-words.md,wing,Animals,the part of a bird or insect used for flying
1200-essential-english-words.md,tail,Animals,the part at the back end of an animal
1200-essential-english-words.md,feather,Animals,a light soft thing that covers a bird's body
1200-essential-english-words.md,color,Colors & Shapes,"the way something looks (red, blue, green, etc.)"
1200-essential-english-words.md,red,Colors & Shapes,the color of fire and strawberries
1200-essential-english-words.md,blue,Colors & Shapes,the color of the sky and the ocean
1200-essential-english-words.md,green,Colors & Shapes,the color of grass and leaves
1200-essential-english-words.md,yellow,Colors & Shapes,the color of the sun and bananas
1200-essential-english-words.md,orange,Colors & Shapes,the color between red and yellow
1200-essential-english-words.md,purple,Colors & Shapes,the color you get when you mix red and blue
1200-essential-english-words.md,pink,Colors & Shapes,a light red color
1200-essential-english-words.md,brown,Colors & Shapes,the color of chocolate and wood
1200-essential-english-words.md,black,Colors & Shapes,the darkest color; the color of night
1200-essential-english-words.md,white,Colors & Shapes,the lightest color; the color of snow
1200-essential-english-words.md,gray,Colors & Shapes,the color between black and white
1200-essential-english-words.md,gold,Colors & Shapes,"a shiny yellow color, like the metal"
1200-essential-english-words.md,silver,Colors & Shapes,"a shiny gray color, like the metal"
1200-essential-english-words.md,dark,Colors & Shapes,close to black; not much light
1200-essential-english-words.md,light,Colors & Shapes,close to white; not dark
1200-essential-english-words.md,bright,Colors & Shapes,strong and easy to see; full of light
1200-essential-english-words.md,shape,Colors & Shapes,"the form of something (round, square, etc.)"
1200-essential-english-words.md,circle,Colors & Shapes,a round shape like a ring
1200-essential-english-words.md,square,Colors & Shapes,a shape with four equal sides and four corners
1200-essential-english-words.md,triangle,Colors & Shapes,a shape with three sides and three corners
1200-essential-english-words.md,rectangle,Colors & Shapes,a shape with four sides; two long and two short
1200-essential-english-words.md,star,Colors & Shapes,a shape with five or more points
1200-essential-english-words.md,line,Colors & Shapes,a long thin mark
1200-essential-english-words.md,round,Colors & Shapes,shaped like a circle or ball
1200-essential-english-words.md,straight,Colors & Shapes,not curved or bent
1200-essential-english-words.md,number,Numbers & Counting,"a word or symbol used for counting (1, 2, 3...)"
1200-essential-english-words.md,zero,Numbers & Counting,the number 0; nothing
1200-essential-english-words.md,one,Numbers & Counting,the number 1
1200-essential-english-words.md,two,Numbers & Counting,the number 2
1200-essential-english-words.md,three,Numbers & Counting,the number 3
1200-essential-english-words.md,four,Numbers & Counting,the number 4
1200-essential-english-words.md,five,Numbers & Counting,the number 5
1200-essential-english-words.md,six,Numbers & Counting,the number 6
1200-essential-english-words.md,seven,Numbers & Counting,the number 7
1200-essential-english-words.md,eight,Numbers & Counting,the number 8
1200-essential-english-words.md,nine,Numbers & Counting,the number 9
1200-essential-english-words.md,ten,Numbers & Counting,the number 10
1200-essential-english-words.md,twenty,Numbers & Counting,the number 20
1200-essential-english-words.md,thirty,Numbers & Counting,the number 30
1200-essential-english-words.md,forty,Numbers & Counting,the number 40
1200-essential-english-words.md,fifty,Numbers & Counting,the number 50
1200-essential-english-words.md,hundred,Numbers & Counting,the number 100
1200-essential-english-words.md,thousand,Numbers & Counting,"the number 1,000"
1200-essential-english-words.md,million,Numbers & Counting,"the number 1,000,000"
1200-essential-english-words.md,first,Numbers & Counting,number one in order (1st)
1200-essential-english-words.md,second,Numbers & Counting,number two in order (2nd)
1200-essential-english-words.md,third,Numbers & Counting,number three in order (3rd)
1200-essential-english-words.md,last,Numbers & Counting,coming after all the others; at the end
1200-essential-english-words.md,half,Numbers & Counting,one of two equal parts
1200-essential-english-words.md,pair,Numbers & Counting,two things that go together
1200-essential-english-words.md,double,Numbers & Counting,two times as much
1200-essential-english-words.md,count,Numbers & Counting,to say numbers in order; to find how many
1200-essential-english-words.md,add,Numbers & Counting,to put numbers together to get a total
1200-essential-english-words.md,total,Numbers & Counting,the full amount when everything is added
1200-essential-english-words.md,many,Numbers & Counting,a large number of
1200-essential-english-words.md,few,Numbers & Counting,a small number of
1200-essential-english-words.md,some,Numbers & Counting,a part of something; not all
1200-essential-english-words.md,all,Numbers & Counting,every one; the whole amount
1200-essential-english-words.md,none,Numbers & Counting,not any; zero
1200-essential-english-words.md,both,Numbers & Counting,the two together
1200-essential-english-words.md,each,Numbers & Counting,every single one
1200-essential-english-words.md,every,Numbers & Counting,"all of them, one by one"
1200-essential-english-words.md,enough,Numbers & Counting,as much as you need
1200-essential-english-words.md,time,Time & Calendar,"what clocks measure (hours, minutes, seconds)"
1200-essential-english-words.md,clock,Time & Calendar,a thing that shows you what time it is
1200-essential-english-words.md,watch,Time & Calendar,a small clock you wear on your wrist
1200-essential-english-words.md,hour,Time & Calendar,60 minutes
1200-essential-english-words.md,minute,Time & Calendar,60 seconds
1200-essential-english-words.md,second,Time & Calendar,a very short time; there are 60 in a minute
1200-essential-english-words.md,morning,Time & Calendar,"the early part of the day, before noon"
1200-essential-english-words.md,afternoon,Time & Calendar,the part of the day between noon and evening
1200-essential-english-words.md,evening,Time & Calendar,the part of the day between afternoon and night
1200-essential-english-words.md,night,Time & Calendar,the dark time when the sun is not in the sky
1200-essential-english-words.md,noon,Time & Calendar,12 o'clock in the middle of the day
1200-essential-english-words.md,midnight,Time & Calendar,12 o'clock in the middle of the night
1200-essential-english-words.md,today,Time & Calendar,this day; the day right now
1200-essential-english-words.md,tomorrow,Time & Calendar,the day after today
1200-essential-english-words.md,yesterday,Time & Calendar,the day before today
1200-essential-english-words.md,day,Time & Calendar,a 24-hour period; the time when the sun is up
1200-essential-english-words.md,week,Time & Calendar,seven days
1200-essential-english-words.md,month,Time & Calendar,about 30 days; there are 12 in a year
1200-essential-english-words.md,year,Time & Calendar,12 months; 365 days
1200-essential-english-words.md,Monday,Time & Calendar,the first day of the work week
1200-essential-english-words.md,Tuesday,Time & Calendar,the second day of the work week
1200-essential-english-words.md,Wednesday,Time & Calendar,the third day of the work week
1200-essential-english-words.md,Thursday,Time & Calendar,the fourth day of the work week
1200-essential-english-words.md,Friday,Time & Calendar,the fifth day of the work week
1200-essential-english-words.md,Saturday,Time & Calendar,the sixth day of the week; part of the weekend
1200-essential-english-words.md,Sunday,Time & Calendar,the seventh day of the week; part of the weekend
1200-essential-english-words.md,weekend,Time & Calendar,Saturday and Sunday
1200-essential-english-words.md,January,Time & Calendar,the first month of the year
1200-essential-english-words.md,February,Time & Calendar,the second month of the year
1200-essential-english-words.md,March,Time & Calendar,the third month of the year
1200-essential-english-words.md,April,Time & Calendar,the fourth month of the year
1200-essential-english-words.md,May,Time & Calendar,the fifth month of the year
1200-essential-english-words.md,June,Time & Calendar,the sixth month of the year
1200-essential-english-words.md,July,Time & Calendar,the seventh month of the year
1200-essential-english-words.md,August,Time & Calendar,the eighth month of the year
1200-essential-english-words.md,September,Time & Calendar,the ninth month of the year
1200-essential-english-words.md,October,Time & Calendar,the tenth month of the year
1200-essential-english-words.md,November,Time & Calendar,the eleventh month of the year
1200-essential-english-words.md,December,Time & Calendar,the twelfth and last month of the year
1200-essential-english-words.md,spring,Time & Calendar,the season after winter when flowers grow
1200-essential-english-words.md,summer,Time & Calendar,the hottest season of the year
1200-essential-english-words.md,autumn,Time & Calendar,the season when leaves fall from trees; also called fall
1200-essential-english-words.md,winter,Time & Calendar,the coldest season of the year
1200-essential-english-words.md,season,Time & Calendar,one of the four parts of the year
1200-essential-english-words.md,birthday,Time & Calendar,"the day you were born, celebrated each year"
1200-essential-english-words.md,holiday,Time & Calendar,a special day when people celebrate or rest
1200-essential-english-words.md,early,Time & Calendar,before the expected time
1200-essential-english-words.md,late,Time & Calendar,after the expected time
1200-essential-english-words.md,soon,Time & Calendar,in a short time from now
1200-essential-english-words.md,already,Time & Calendar,before now; before a certain time
1200-essential-english-words.md,always,Time & Calendar,at all times; every time
1200-essential-english-words.md,never,Time & Calendar,not at any time
1200-essential-english-words.md,sometimes,Time & Calendar,not always; once in a while
1200-essential-english-words.md,often,Time & Calendar,many times; happening a lot
1200-essential-english-words.md,usually,Time & Calendar,most of the time
1200-essential-english-words.md,ago,Time & Calendar,in the past; before now
1200-essential-english-words.md,clothes,Clothes & Accessories,things you wear on your body
1200-essential-english-words.md,shirt,Clothes & Accessories,a piece of clothing for the upper body with sleeves
1200-essential-english-words.md,pants,Clothes & Accessories,clothing that covers your legs
1200-essential-english-words.md,dress,Clothes & Accessories,"a piece of clothing for girls/women, top and skirt together"
1200-essential-english-words.md,skirt,Clothes & Accessories,"clothing that hangs from the waist, worn by girls/women"
1200-essential-english-words.md,jacket,Clothes & Accessories,a short coat you wear to stay warm
1200-essential-english-words.md,coat,Clothes & Accessories,clothing you wear over other clothes to stay warm
1200-essential-english-words.md,sweater,Clothes & Accessories,a warm piece of clothing made from wool or thick cloth
1200-essential-english-words.md,shorts,Clothes & Accessories,short pants that end above the knee
1200-essential-english-words.md,jeans,Clothes & Accessories,strong pants made from blue cloth
1200-essential-english-words.md,uniform,Clothes & Accessories,special clothes that everyone in a group wears
1200-essential-english-words.md,pajamas,Clothes & Accessories,clothes you wear when you sleep
1200-essential-english-words.md,sock,Clothes & Accessories,a soft covering you wear on your foot inside a shoe
1200-essential-english-words.md,shoe,Clothes & Accessories,something you wear on your foot for walking
1200-essential-english-words.md,boot,Clothes & Accessories,a strong shoe that covers your foot and ankle
1200-essential-english-words.md,hat,Clothes & Accessories,something you wear on your head
1200-essential-english-words.md,cap,Clothes & Accessories,a hat with a flat part in front to block the sun
1200-essential-english-words.md,glove,Clothes & Accessories,a covering for your hand with places for each finger
1200-essential-english-words.md,scarf,Clothes & Accessories,a long piece of cloth worn around your neck
1200-essential-english-words.md,belt,Clothes & Accessories,a band you wear around your waist to hold up pants
1200-essential-english-words.md,pocket,Clothes & Accessories,a small bag sewn into clothing for holding things
1200-essential-english-words.md,button,Clothes & Accessories,a small round thing used to close shirts and coats
1200-essential-english-words.md,zipper,Clothes & Accessories,a device with teeth that opens and closes clothing
1200-essential-english-words.md,umbrella,Clothes & Accessories,a thing you hold over your head to stay dry in rain
1200-essential-english-words.md,bag,Clothes & Accessories,a container for carrying things
1200-essential-english-words.md,backpack,Clothes & Accessories,a bag you carry on your back
1200-essential-english-words.md,glasses,Clothes & Accessories,"two pieces of glass in a frame, worn to see better"
1200-essential-english-words.md,sunglasses,Clothes & Accessories,dark glasses that protect your eyes from the sun
1200-essential-english-words.md,ring,Clothes & Accessories,a small circle of metal worn on your finger
1200-essential-english-words.md,wear,Clothes & Accessories,to have clothes on your body
1200-essential-english-words.md,home,House & Home,the place where you live
1200-essential-english-words.md,house,House & Home,a building where people live
1200-essential-english-words.md,apartment,House & Home,a set of rooms in a larger building where people live
1200-essential-english-words.md,room,House & Home,a space inside a building with walls
1200-essential-english-words.md,bedroom,House & Home,the room where you sleep
1200-essential-english-words.md,bathroom,House & Home,the room with a toilet and shower
1200-essential-english-words.md,kitchen,House & Home,the room where you cook food
1200-essential-english-words.md,living room,House & Home,the main room where a family sits together
1200-essential-english-words.md,door,House & Home,a thing you open and close to enter a room or building
1200-essential-english-words.md,window,House & Home,an opening in a wall with glass to let in light
1200-essential-english-words.md,wall,House & Home,the side of a room or building
1200-essential-english-words.md,floor,House & Home,the part of a room you walk on
1200-essential-english-words.md,ceiling,House & Home,the top part of a room above your head
1200-essential-english-words.md,roof,House & Home,the top covering of a building
1200-essential-english-words.md,stairs,House & Home,steps you walk up and down to change floors
1200-essential-english-words.md,key,House & Home,a small metal thing used to open a lock
1200-essential-english-words.md,lock,House & Home,a device that keeps a door closed
1200-essential-english-words.md,furniture,House & Home,"things like tables, chairs, and beds in a room"
1200-essential-english-words.md,table,House & Home,a flat piece of furniture with legs
1200-essential-english-words.md,chair,House & Home,a piece of furniture you sit on
1200-essential-english-words.md,desk,House & Home,a table where you study or work
1200-essential-english-words.md,bed,House & Home,a piece of furniture where you sleep
1200-essential-english-words.md,pillow,House & Home,a soft thing you put your head on when you sleep
1200-essential-english-words.md,blanket,House & Home,a large soft cover to keep you warm in bed
1200-essential-english-words.md,sofa,House & Home,a long soft seat for two or more people
1200-essential-english-words.md,shelf,House & Home,a flat board on a wall for holding things
1200-essential-english-words.md,closet,House & Home,a small room or space for keeping clothes
1200-essential-english-words.md,drawer,House & Home,a box that slides in and out of furniture
1200-essential-english-words.md,mirror,House & Home,a piece of glass that shows your reflection
1200-essential-english-words.md,lamp,House & Home,a thing that makes light in a room
1200-essential-english-words.md,light,House & Home,something that lets you see in the dark
1200-essential-english-words.md,fan,House & Home,a machine that moves air to keep you cool
1200-essential-english-words.md,refrigerator,House & Home,a machine that keeps food cold
1200-essential-english-words.md,oven,House & Home,a machine used for baking and cooking food
1200-essential-english-words.md,stove,House & Home,a machine with a flat top for cooking food in pots
1200-essential-english-words.md,sink,House & Home,a bowl with water taps for washing
1200-essential-english-words.md,toilet,House & Home,what you sit on in the bathroom
1200-essential-english-words.md,shower,House & Home,a thing that sprays water on you for washing
1200-essential-english-words.md,towel,House & Home,a piece of cloth used to dry your body
1200-essential-english-words.md,soap,House & Home,something you use with water to clean your body
1200-essential-english-words.md,toothbrush,House & Home,a small brush for cleaning your teeth
1200-essential-english-words.md,garden,House & Home,a piece of land where flowers or vegetables grow
1200-essential-english-words.md,yard,House & Home,the land around a house
1200-essential-english-words.md,fence,House & Home,a wall made of wood or wire around a yard
1200-essential-english-words.md,garage,House & Home,a building or room for keeping a car
1200-essential-english-words.md,clean,House & Home,free from dirt; to remove dirt
1200-essential-english-words.md,dirty,House & Home,not clean; covered with dirt
1200-essential-english-words.md,mess,House & Home,when things are not tidy; things everywhere
1200-essential-english-words.md,trash,House & Home,things you throw away; garbage
1200-essential-english-words.md,fix,House & Home,to repair something that is broken
1200-essential-english-words.md,school,School & Education,a place where children go to learn
1200-essential-english-words.md,classroom,School & Education,a room in a school where students learn
1200-essential-english-words.md,teacher,School & Education,a person who helps students learn
1200-essential-english-words.md,student,School & Education,a person who studies at a school
1200-essential-english-words.md,lesson,School & Education,a time when a teacher teaches something
1200-essential-english-words.md,class,School & Education,a group of students who learn together
1200-essential-english-words.md,homework,School & Education,schoolwork that you do at home
1200-essential-english-words.md,test,School & Education,a set of questions to check what you know
1200-essential-english-words.md,exam,School & Education,a big test at the end of a class or year
1200-essential-english-words.md,grade,School & Education,a score that shows how well you did; also a school year
1200-essential-english-words.md,subject,School & Education,"an area of study, like math or science"
1200-essential-english-words.md,math,School & Education,the study of numbers and how to use them
1200-essential-english-words.md,science,School & Education,the study of nature and how things work
1200-essential-english-words.md,history,School & Education,the study of things that happened in the past
1200-essential-english-words.md,English,School & Education,the language spoken in many countries
1200-essential-english-words.md,art,School & Education,"drawing, painting, and making beautiful things"
1200-essential-english-words.md,music,School & Education,sounds made by singing or playing instruments
1200-essential-english-words.md,read,School & Education,to look at words and understand them
1200-essential-english-words.md,write,School & Education,to put words on paper or a screen
1200-essential-english-words.md,study,School & Education,to spend time learning something
1200-essential-english-words.md,learn,School & Education,to get new knowledge or skills
1200-essential-english-words.md,teach,School & Education,to help someone learn something
1200-essential-english-words.md,understand,School & Education,to know the meaning of something
1200-essential-english-words.md,question,School & Education,something you ask to find out information
1200-essential-english-words.md,answer,School & Education,what you say or write when someone asks a question
1200-essential-english-words.md,practice,School & Education,to do something again and again to get better
1200-essential-english-words.md,example,School & Education,something that shows what something is like
1200-essential-english-words.md,mistake,School & Education,something wrong; an error
1200-essential-english-words.md,correct,School & Education,right; without mistakes
1200-essential-english-words.md,wrong,School & Education,not right; having a mistake
1200-essential-english-words.md,book,School & Education,pages with words put together for reading
1200-essential-english-words.md,page,School & Education,one side of a piece of paper in a book
1200-essential-english-words.md,notebook,School & Education,a book with empty pages for writing
1200-essential-english-words.md,pencil,School & Education,a thin tool for writing and drawing
1200-essential-english-words.md,pen,School & Education,a tool for writing with ink
1200-essential-english-words.md,eraser,School & Education,a thing used to remove pencil marks
1200-essential-english-words.md,ruler,School & Education,a straight tool for measuring length
1200-essential-english-words.md,paper,School & Education,a thin flat material for writing on
1200-essential-english-words.md,map,School & Education,a picture that shows where places are
1200-essential-english-words.md,board,School & Education,a large flat surface on the wall for writing in a classroom
1200-essential-english-words.md,library,School & Education,a place with many books you can read or borrow
1200-essential-english-words.md,dictionary,School & Education,a book that gives the meaning of words
1200-essential-english-words.md,letter,School & Education,"a symbol used in writing (A, B, C); also a written message"
1200-essential-english-words.md,word,School & Education,a group of letters that means something
1200-essential-english-words.md,sentence,School & Education,a group of words that makes a complete idea
1200-essential-english-words.md,story,School & Education,"a description of events, real or made up"
1200-essential-english-words.md,paragraph,School & Education,a group of sentences about one main idea
1200-essential-english-words.md,language,School & Education,a system of words people use to communicate
1200-essential-english-words.md,spell,School & Education,to write or say the letters of a word in order
1200-essential-english-words.md,remember,School & Education,to keep something in your mind; not forget
1200-essential-english-words.md,weather,Weather & Nature,"what it is like outside (hot, cold, rainy, etc.)"
1200-essential-english-words.md,sun,Weather & Nature,the bright star in the sky that gives us light and heat
1200-essential-english-words.md,moon,Weather & Nature,the round thing in the sky that shines at night
1200-essential-english-words.md,sky,Weather & Nature,the space above you where you see clouds and the sun
1200-essential-english-words.md,cloud,Weather & Nature,a white or gray thing in the sky made of tiny water drops
1200-essential-english-words.md,rain,Weather & Nature,water that falls from clouds
1200-essential-english-words.md,snow,Weather & Nature,soft white pieces of frozen water that fall from the sky
1200-essential-english-words.md,wind,Weather & Nature,moving air
